軍職專長,專長代碼,民間工作任務用語,職業類別,職業名稱,職業代碼,轉銜理由,必須證照,建議證照
航空指揮將官,AD00,"1.航空營運統籌管理
  1.1統籌航空相關作業與整體運行。
  1.2確保運作效率與執行品質。
  1.3提升組織整體營運績效。
2.跨部門整合與資源協調
  2.1整合人員、資源與各部門運作。
  2.2協調不同單位之工作流程。
  2.3提升整體運作效率與協同能力。
3.計畫審核與決策管理
  3.1審核作業計畫與執行方向。
  3.2提供專業判斷與策略建議。
  3.3支持組織決策與營運發展。",01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作制度、決策流程與績效管理特性，適合擔任經營管理主管，從事組織營運規劃、資源配置與管理決策等工作。,,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備飛行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險評估制度，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,21行銷/企劃/專案,專案管理主管,210301,具備飛行任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，帶領團隊從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,22其他職類,顧問,220106,具備策略規劃、團隊領導、資源整合與危機應處能力，適合擔任企業顧問，提供營運策略諮詢及襄理重大專案工作。,,
,,,14教育/學術/研究,歷史／政治相關研究人員,140307,具備策略規劃及複雜情境下分析判斷實務經驗，熟悉國際關係、政策評估及研究流程，適合擔任歷史／政治相關研究人員，從事政策研究分析工作。,,
高速定翼機飛行指揮官,AD01,"1.飛航作業與營運管理
  1.1管理飛行相關作業與整體運行。
  1.2確保作業品質與運行效率。
  1.3提升單位整體營運表現。
2.作業規劃與跨部門協調
  2.1規劃飛行與相關作業流程。
  2.2協調不同部門資源與作業。
  2.3提升整體執行效率與協同能力。
3.計畫審核與風險控管
  3.1審查作業計畫與執行內容。
  3.2評估風險並提出改善建議。
  3.3確保作業安全與穩定執行。",15物流/運輸/資材,飛行機師,150203,具備飛行操作、任務規劃與飛航風險管理等相關實務，熟悉飛航作業流程、飛航安全制度，適合擔任飛行機師，從事運輸旅客，郵件、或貨物之工作。,應取得交通部民用航空局核發之「航空人員檢定證：航空器駕駛員檢定證」等相關證照,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備飛行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,15物流/運輸/資材,飛航安全技術員,150204,具備飛航任務風險評估、作業監督與安全事件分析等相關實務，熟悉飛航作業流程與飛安管理實務，適合飛航安全技術員，從事飛航風險分析、安全稽核與作業改善建議等工作。,應取得交通部民用航空局核發之「航空人員檢定證：飛航管制員檢定證」等相關證照,
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,21行銷/企劃/專案,專案管理師,210304,具備跨部門協調與計畫統籌能力，熟悉任務規劃、資源配置與跨部門協調，適合擔任專案管理師，從事專案規劃、進度控管與成效評估工作。,,建議取得「國際專案管理師（PMP）證照」
慢速定翼機飛行指揮官,AD13,"1.飛航作業管理與執行
  1.1管理飛行相關作業與執行流程。
  1.2確保日常運作穩定與順暢。
  1.3提升整體作業效率。
2.計畫轉化與流程推動
  2.1將規劃轉換為具體執行流程。
  2.2設計作業節奏與推動落實。
  2.3確保各項工作依規劃執行。
3.品質控管與成效優化
  3.1審查作業內容與執行成果。
  3.2分析執行狀況並提出改善建議。
  3.3持續提升作業品質與人員能力。",15物流/運輸/資材,飛行機師,150203,具備飛行操作、任務規劃與飛航風險管理等相關實務，熟悉飛航作業流程、飛航安全制度，適合擔任飛行機師，從事運輸旅客，郵件、或貨物之工作。,應取得交通部民用航空局核發之「航空人員檢定證：航空器駕駛員檢定證」等相關證照,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備飛行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,15物流/運輸/資材,運輸配送經理,150109,具備任務規劃、跨單位資源整合及高壓情境決策判斷等實務經驗，熟悉運輸調度流程、作業管控機制與風險評估制度，適合擔任運輸配送經理，從事運輸調度規劃與配送營運管理工作。,,
,,,15物流/運輸/資材,飛航安全技術員,150204,具備飛航任務風險評估、作業監督與安全事件分析等相關實務，熟悉飛航作業流程與飛安管理實務，適合飛航安全技術員，從事飛航風險分析、安全稽核與作業改善建議等工作。,應取得交通部民用航空局核發之「航空人員檢定證：飛航管制員檢定證」等相關證照,
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,21行銷/企劃/專案,專案管理師,210304,具備跨部門協調與計畫統籌能力，熟悉任務規劃、資源配置與跨部門協調，適合擔任專案管理師，從事專案規劃、進度控管與成效評估工作。,,建議取得「國際專案管理師（PMP）證照」
旋翼機飛行指揮官,AD21,"1.飛航作業管理與執行
  1.1管理飛行相關作業與整體運行。
  1.2確保作業順暢與執行成果。
  1.3提升整體運作效率。
2.計畫轉化與行動推動
  2.1將規劃轉為具體行動方案。
  2.2協調跨部門資源與作業。
  2.3推動各項作業順利執行。
3.即時應變與品質控管
  3.1監控作業狀況並即時調整。
  3.2評估風險並進行應變處置。
  3.3確保作業品質與穩定運行。",15物流/運輸/資材,飛行機師,150203,具備飛行操作、任務規劃與飛航風險管理等相關實務，熟悉飛航作業流程、飛航安全制度，適合擔任飛行機師，從事運輸旅客，郵件、或貨物之工作。,應取得交通部民用航空局核發之「航空人員檢定證：航空器駕駛員檢定證」等相關證照,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備飛行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,15物流/運輸/資材,運輸配送經理,150109,具備任務規劃、跨單位資源整合及高壓情境決策判斷等實務經驗，熟悉運輸調度流程、作業管控機制與風險評估制度，適合擔任運輸配送經理，從事運輸調度規劃與配送營運管理工作。,,
,,,15物流/運輸/資材,飛航安全技術員,150204,具備飛航任務風險評估、作業監督與安全事件分析等相關實務，熟悉飛航作業流程與飛安管理實務，適合飛航安全技術員，從事飛航風險分析、安全稽核與作業改善建議等工作。,應取得交通部民用航空局核發之「航空人員檢定證：飛航管制員檢定證」等相關證照,
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,21行銷/企劃/專案,專案管理師,210304,具備跨部門協調與計畫統籌能力，熟悉任務規劃、資源配置與跨部門協調，適合擔任專案管理師，從事專案規劃、進度控管與成效評估工作。,,建議取得「國際專案管理師（PMP）證照」
艦艇指揮將官,AE00,"1.海事營運統籌管理
  1.1統籌船舶與相關單位運作。
  1.2確保整體運行效率與穩定性。
  1.3提升組織整體營運績效。
2.計畫規劃與執行推動
  2.1擬定營運方向與作業計畫。
  2.2推動計畫落實與執行。
  2.3確保各項工作依規劃推進。
3.組織管理與運作監督
  3.1管理各項業務運作與人員配置。
  3.2監控整體運行狀況與績效。
  3.3持續優化組織運作模式。",01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作、決策流程與績效管理，適合擔任經營管理主管，從事營運規劃、資源整合與團隊領導等工作。,,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備航行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,21行銷/企劃/專案,專案管理主管,210301,具備航行任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，帶領團隊從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,22其他職類,顧問,220106,具備策略規劃、團隊領導、資源整合與危機應處能力，適合擔任企業顧問，提供營運策略諮詢及襄理重大專案工作。,,
,,,14教育/學術/研究,歷史／政治相關研究人員,140307,具備策略規劃及複雜情境下分析判斷實務經驗，熟悉國際關係、政策評估及研究流程，適合擔任歷史／政治相關研究人員，從事政策研究分析工作。,,
戰隊指揮官,AE01,"1.艦隊營運管理
  1.1管理多船舶或多單位整體運作。
  1.2確保各單位協同運行。
  1.3提升整體營運效率。
2.計畫規劃與執行推動
  2.1制定整體營運與行動計畫。
  2.2推動各單位依計畫執行。
  2.3確保工作方向一致。
3.績效評估與優化
  3.1分析整體營運成果。
  3.2規劃改善措施與優化方案。
  3.3持續提升組織績效表現。",01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作、決策流程與績效管理，適合擔任經營管理主管，從事營運規劃、資源整合與團隊領導等工作。,,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備航行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,21行銷/企劃/專案,專案管理主管,210301,具備航行任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，帶領團隊從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,15物流/運輸/資材,船長／大副,150208,具備航行指揮、船舶操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
